sample_id,crop_path,transcription,plate_type,split,source_image,notes
ocr_000001,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/processed/ocr/crops_plate_number_reference/ocr_000001.png,,license_plate_kh_private,train,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/splits/plate_number_reference_remapped/train/images/2BQ-2973_jpg.rf.8efad966c9f7687610cdd743be11badb.jpg,auto-generated crop — add transcription
ocr_000002,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/processed/ocr/crops_plate_number_reference/ocr_000002.png,,license_plate_kh_private,train,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/splits/plate_number_reference_remapped/train/images/BTM2A-9079_jpg.rf.51b0ed8d613faae01f8dbb14787fe2c1.jpg,auto-generated crop — add transcription
ocr_000003,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/processed/ocr/crops_plate_number_reference/ocr_000003.png,,license_plate_kh_private,train,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/splits/plate_number_reference_remapped/train/images/BTM2B-0689_jpg.rf.0bca81fb29bec21ea393b7b4a9445bc2.jpg,auto-generated crop — add transcription
ocr_000004,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/processed/ocr/crops_plate_number_reference/ocr_000004.png,,license_plate_kh_private,train,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/splits/plate_number_reference_remapped/train/images/BTM2B-2641_jpg.rf.2a70de856a0b16557848301d2773a951.jpg,auto-generated crop — add transcription
ocr_000005,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/processed/ocr/crops_plate_number_reference/ocr_000005.png,,license_plate_kh_private,train,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/splits/plate_number_reference_remapped/train/images/BTM2B-7674_jpg.rf.c9e30f19b5ecaf12d4ce14dca614459e.jpg,auto-generated crop — add transcription
ocr_000006,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/processed/ocr/crops_plate_number_reference/ocr_000006.png,,license_plate_kh_private,train,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/splits/plate_number_reference_remapped/train/images/BTM2D-7700_jpg.rf.8354d7322fbe626641ca5e1cfb3ec242.jpg,auto-generated crop — add transcription
ocr_000007,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/processed/ocr/crops_plate_number_reference/ocr_000007.png,,license_plate_kh_private,train,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/splits/plate_number_reference_remapped/train/images/BTM3A-1841_jpg.rf.997683db169911f0bdeff899718766f8.jpg,auto-generated crop — add transcription
ocr_000008,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/processed/ocr/crops_plate_number_reference/ocr_000008.png,,license_plate_kh_private,train,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/splits/plate_number_reference_remapped/train/images/K2A-1482_jpg.rf.e2860db8b89e1e512dd6bd0c86c96f20.jpg,auto-generated crop — add transcription
ocr_000009,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/processed/ocr/crops_plate_number_reference/ocr_000009.png,,license_plate_kh_private,train,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/splits/plate_number_reference_remapped/train/images/K2A-2230_jpg.rf.ce64c6b7ae59d069537193cb83285e40.jpg,auto-generated crop — add transcription
ocr_000010,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/processed/ocr/crops_plate_number_reference/ocr_000010.png,,license_plate_kh_private,train,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/splits/plate_number_reference_remapped/train/images/K2A-8923_jpg.rf.53bbe77e4657c074fc547a2b3d229973.jpg,auto-generated crop — add transcription
ocr_000011,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/processed/ocr/crops_plate_number_reference/ocr_000011.png,,license_plate_kh_private,train,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/splits/plate_number_reference_remapped/train/images/K2B-2574_jpg.rf.e3d772e206d949a82d80da8a09026f4c.jpg,auto-generated crop — add transcription
ocr_000012,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/processed/ocr/crops_plate_number_reference/ocr_000012.png,,license_plate_kh_private,train,D:/Year4/Project Thesis/Expert System/Project/CamTraffic/ai-service/data/datasets/splits/plate_number_reference_remapped/train/images/K2B-5437_jpg.rf.3d9afa0c9b20c4b310cab3b0dc90f086.jpg,auto-generated crop — add transcription
