image_id,batch_id,plate_class,transcription,crop_path,source,verified,notes
PLATE_PRIVATE_000044.jpg,BATCH-REF-VEH-PLATE-001,private,2AG-9591,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\private\PLATE_PRIVATE_000044.jpg,reference/Plate_Number,auto,Seed batch
PLATE_COMMERCIAL_000008.jpg,BATCH-REF-VEH-PLATE-001,commercial,BTM2C-5927,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\commercial\PLATE_COMMERCIAL_000008.jpg,reference/Plate_Number,auto,Seed batch
PLATE_PRIVATE_000045.jpg,BATCH-REF-VEH-PLATE-001,private,KP2A-1738,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\private\PLATE_PRIVATE_000045.jpg,reference/Plate_Number,auto,Seed batch
PLATE_PRIVATE_000046.jpg,BATCH-REF-VEH-PLATE-001,private,KP2A-1963,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\private\PLATE_PRIVATE_000046.jpg,reference/Plate_Number,auto,Seed batch
PLATE_PRIVATE_000047.jpg,BATCH-REF-VEH-PLATE-001,private,KPC2A-4120,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\private\PLATE_PRIVATE_000047.jpg,reference/Plate_Number,auto,Seed batch
PLATE_COMMERCIAL_000009.jpg,BATCH-REF-VEH-PLATE-001,commercial,KPS2C-8688,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\commercial\PLATE_COMMERCIAL_000009.jpg,reference/Plate_Number,auto,Seed batch
PLATE_COMMERCIAL_000010.jpg,BATCH-REF-VEH-PLATE-001,commercial,KPS2D-3132,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\commercial\PLATE_COMMERCIAL_000010.jpg,reference/Plate_Number,auto,Seed batch
PLATE_COMMERCIAL_000011.jpg,BATCH-REF-VEH-PLATE-001,commercial,KPS3A-8272,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\commercial\PLATE_COMMERCIAL_000011.jpg,reference/Plate_Number,auto,Seed batch
PLATE_PRIVATE_000048.jpg,BATCH-REF-VEH-PLATE-001,private,KT3A-0976,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\private\PLATE_PRIVATE_000048.jpg,reference/Plate_Number,auto,Seed batch
PLATE_PRIVATE_000049.jpg,BATCH-REF-VEH-PLATE-001,private,PP2AF-2243,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\private\PLATE_PRIVATE_000049.jpg,reference/Plate_Number,auto,Seed batch
PLATE_PRIVATE_000050.jpg,BATCH-REF-VEH-PLATE-001,private,PP2AG-7231,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\private\PLATE_PRIVATE_000050.jpg,reference/Plate_Number,auto,Seed batch
PLATE_PRIVATE_000051.jpg,BATCH-REF-VEH-PLATE-001,private,PP2AQ-5680,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\private\PLATE_PRIVATE_000051.jpg,reference/Plate_Number,auto,Seed batch
PLATE_PRIVATE_000052.jpg,BATCH-REF-VEH-PLATE-001,private,PP2AR-3753,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\private\PLATE_PRIVATE_000052.jpg,reference/Plate_Number,auto,Seed batch
PLATE_PRIVATE_000053.jpg,BATCH-REF-VEH-PLATE-001,private,PP2AR-6191,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\private\PLATE_PRIVATE_000053.jpg,reference/Plate_Number,auto,Seed batch
PLATE_PRIVATE_000054.jpg,BATCH-REF-VEH-PLATE-001,private,PP2AT-3751,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\private\PLATE_PRIVATE_000054.jpg,reference/Plate_Number,auto,Seed batch
PLATE_PRIVATE_000055.jpg,BATCH-REF-VEH-PLATE-001,private,PP2AU-2908,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\private\PLATE_PRIVATE_000055.jpg,reference/Plate_Number,auto,Seed batch
PLATE_PRIVATE_000056.jpg,BATCH-REF-VEH-PLATE-001,private,PP2AU-4266,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\private\PLATE_PRIVATE_000056.jpg,reference/Plate_Number,auto,Seed batch
PLATE_PRIVATE_000057.jpg,BATCH-REF-VEH-PLATE-001,private,PP2AV-6079,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\private\PLATE_PRIVATE_000057.jpg,reference/Plate_Number,auto,Seed batch
PLATE_PRIVATE_000058.jpg,BATCH-REF-VEH-PLATE-001,private,PP2AW-3523,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\private\PLATE_PRIVATE_000058.jpg,reference/Plate_Number,auto,Seed batch
PLATE_PRIVATE_000059.jpg,BATCH-REF-VEH-PLATE-001,private,PP2AX-3903,D:\Year4\Project Thesis\Expert System\Project\CamTraffic\ai\datasets\raw\license_plates\private\PLATE_PRIVATE_000059.jpg,reference/Plate_Number,auto,Seed batch
