epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.45771,1.04251,2.58672,1.30763,0.00622,0.77778,0.28109,0.11324,1.48866,3.49631,1.55208,7e-05,7e-05,0.09307
2,15.9758,0.92096,2.28913,1.20373,0.0059,0.88889,0.53153,0.18688,1.33664,3.34505,1.46071,0.000149975,0.000149975,0.08515
3,24.3846,1.00682,1.9577,1.26242,0.00534,0.88889,0.63026,0.2452,0.99716,2.90797,1.17785,0.000229844,0.000229844,0.0772298
4,31.2754,1.00512,1.42773,1.14247,0.00598,1,0.60976,0.34979,0.88353,2.67427,1.12511,0.000309527,0.000309527,0.0693095
5,38.1943,1.01052,1.43278,1.31603,1,0.30145,0.70407,0.39939,0.95169,2.4731,1.10441,0.000388942,0.000388942,0.0613889
6,45.0551,1.10273,1.42289,1.33756,1,0.20812,0.86667,0.52525,1.1595,2.36361,1.16085,0.00046801,0.00046801,0.053468
7,51.8481,0.89949,1.14766,1.11607,1,0.57411,0.94306,0.53646,1.32842,2.12042,1.27048,0.000546648,0.000546648,0.0455466
8,58.5294,0.99122,1.24452,1.22381,0.89199,0.66667,0.95056,0.57636,1.25859,1.93492,1.27672,0.000624778,0.000624778,0.0376248
9,65.2903,1.04513,1.34041,1.28319,0.91545,0.66667,0.90725,0.6351,0.92027,1.89075,1.22286,0.00070232,0.00070232,0.0297023
10,71.9764,0.87524,1.10713,1.05558,0.91545,0.66667,0.90725,0.6351,0.92027,1.89075,1.22286,0.000779195,0.000779195,0.0217792
11,78.5865,0.96014,1.14229,1.12254,0.82774,0.53691,0.74324,0.55292,0.67824,1.70128,1.09962,0.000855326,0.000855326,0.0138553
12,85.2649,1.01338,1.14957,1.16257,0.82774,0.53691,0.74324,0.55292,0.67824,1.70128,1.09962,0.000930635,0.000930635,0.00593063
13,91.9962,0.86007,0.9855,1.16816,0.61544,0.77778,0.76367,0.54337,0.88571,1.86679,1.21504,0.000975773,0.000975773,0.000975773
14,98.7573,0.92257,1.60598,1.1892,0.61544,0.77778,0.76367,0.54337,0.88571,1.86679,1.21504,0.000971608,0.000971608,0.000971608
15,105.387,0.96091,1.02086,1.19963,0.98489,0.77778,0.93101,0.61959,0.93377,1.48337,1.20349,0.000967122,0.000967122,0.000967122
16,111.983,0.88962,1.10088,1.20721,0.98489,0.77778,0.93101,0.61959,0.93377,1.48337,1.20349,0.00096232,0.00096232,0.00096232
17,118.738,0.89309,1.08388,1.11179,1,0.87146,0.94687,0.60176,1.34583,1.33767,1.51272,0.000957205,0.000957205,0.000957205
18,125.577,0.91812,1.02075,1.19569,1,0.87146,0.94687,0.60176,1.34583,1.33767,1.51272,0.00095178,0.00095178,0.00095178
19,132.279,0.79532,0.97438,1.06673,0.87384,0.77059,0.90365,0.50372,1.16055,1.52589,1.3151,0.000946048,0.000946048,0.000946048
20,139.202,0.85105,1.03799,1.1635,0.87384,0.77059,0.90365,0.50372,1.16055,1.52589,1.3151,0.000940014,0.000940014,0.000940014
21,145.997,0.89777,1.12133,1.14439,0.81479,0.97928,0.95056,0.64544,0.90232,1.46938,1.24311,0.000933683,0.000933683,0.000933683
22,152.832,0.81622,1.00656,1.11361,0.81479,0.97928,0.95056,0.64544,0.90232,1.46938,1.24311,0.000927057,0.000927057,0.000927057
23,159.89,0.84493,1.00757,1.11987,0.86704,1,0.962,0.69917,0.92374,1.38667,1.26171,0.000920142,0.000920142,0.000920142
24,166.6,0.86685,1.0683,1.22772,0.86704,1,0.962,0.69917,0.92374,1.38667,1.26171,0.000912942,0.000912942,0.000912942
25,173.569,0.89473,0.94342,1.17659,1,0.97282,0.995,0.64488,1.04744,1.36971,1.33955,0.000905463,0.000905463,0.000905463
26,180.319,0.834,0.90123,1.12345,1,0.97282,0.995,0.64488,1.04744,1.36971,1.33955,0.00089771,0.00089771,0.00089771
27,187.327,0.89472,0.95351,1.15487,0.98201,1,0.995,0.66805,1.00422,1.2411,1.29268,0.000889687,0.000889687,0.000889687
28,193.931,0.88096,0.88749,1.20433,0.98201,1,0.995,0.66805,1.00422,1.2411,1.29268,0.000881401,0.000881401,0.000881401
29,200.908,0.991,1.0472,1.29403,0.98575,1,0.995,0.64826,1.00805,1.239,1.20117,0.000872857,0.000872857,0.000872857
30,207.412,0.92547,1.00112,1.12369,0.98575,1,0.995,0.64826,1.00805,1.239,1.20117,0.00086406,0.00086406,0.00086406
31,214.217,0.86721,0.93205,1.2558,0.98217,0.88889,0.984,0.67883,0.98859,1.10271,1.16879,0.000855018,0.000855018,0.000855018
32,220.927,0.85239,0.89165,1.12395,0.98217,0.88889,0.984,0.67883,0.98859,1.10271,1.16879,0.000845736,0.000845736,0.000845736
33,227.585,0.92955,0.96627,1.17248,1,0.88763,0.96115,0.69819,1.00716,1.15762,1.21282,0.00083622,0.00083622,0.00083622
34,234.3,0.85105,0.95153,1.1156,1,0.88763,0.96115,0.69819,1.00716,1.15762,1.21282,0.000826477,0.000826477,0.000826477
35,241.017,0.84425,0.85599,1.14149,1,0.87554,0.975,0.68647,1.06347,1.18454,1.27536,0.000816514,0.000816514,0.000816514
36,247.894,0.79909,0.99175,1.07929,1,0.87554,0.975,0.68647,1.06347,1.18454,1.27536,0.000806337,0.000806337,0.000806337
37,254.677,0.88832,0.91383,1.1868,0.98456,0.88889,0.984,0.58699,1.59188,1.3656,1.67935,0.000795954,0.000795954,0.000795954
38,261.382,0.82459,0.96356,1.16522,0.98456,0.88889,0.984,0.58699,1.59188,1.3656,1.67935,0.000785371,0.000785371,0.000785371
39,268.051,0.87694,0.89372,1.11746,0.99234,1,0.995,0.58131,1.64914,1.35044,1.80405,0.000774596,0.000774596,0.000774596
40,274.929,0.84332,0.87129,1.12067,0.99234,1,0.995,0.58131,1.64914,1.35044,1.80405,0.000763637,0.000763637,0.000763637
41,281.583,0.79774,0.92622,1.14023,0.96596,1,0.995,0.59354,1.49626,1.29359,1.6572,0.0007525,0.0007525,0.0007525
42,288.33,0.79152,0.82731,1.00002,0.96596,1,0.995,0.59354,1.49626,1.29359,1.6572,0.000741194,0.000741194,0.000741194
43,295.277,0.81803,0.81059,1.10668,0.94069,1,0.995,0.65545,1.13997,1.09435,1.28652,0.000729725,0.000729725,0.000729725
44,302.2,0.80828,0.82333,1.10322,0.94069,1,0.995,0.65545,1.13997,1.09435,1.28652,0.000718103,0.000718103,0.000718103
45,309.113,0.82227,0.80434,1.11606,1,0.96581,0.995,0.75311,0.99971,1.0016,1.13788,0.000706335,0.000706335,0.000706335
46,315.94,0.79178,0.75289,1.06284,1,0.96581,0.995,0.75311,0.99971,1.0016,1.13788,0.000694428,0.000694428,0.000694428
47,322.85,0.77274,0.82083,1.14072,0.89048,1,0.984,0.7596,0.98238,1.00906,1.1157,0.000682392,0.000682392,0.000682392
48,329.549,0.74279,0.84434,1.09487,0.89048,1,0.984,0.7596,0.98238,1.00906,1.1157,0.000670234,0.000670234,0.000670234
49,336.527,0.86497,0.83246,1.18903,0.89395,1,0.984,0.714,1.06372,0.99059,1.18427,0.000657963,0.000657963,0.000657963
50,343.429,0.79162,0.81268,1.08142,0.89395,1,0.984,0.714,1.06372,0.99059,1.18427,0.000645588,0.000645588,0.000645588
51,350.204,0.79621,0.82152,1.13502,0.89515,1,0.984,0.70125,1.12532,0.94292,1.26212,0.000633115,0.000633115,0.000633115
52,357.055,0.75537,0.79115,1.08531,0.89515,1,0.984,0.70125,1.12532,0.94292,1.26212,0.000620555,0.000620555,0.000620555
53,364.132,0.79919,0.7073,1.06625,0.89518,1,0.984,0.69671,1.11601,0.92316,1.25055,0.000607916,0.000607916,0.000607916
54,371.349,0.87645,0.88116,1.14147,0.89518,1,0.984,0.69671,1.11601,0.92316,1.25055,0.000595207,0.000595207,0.000595207
55,378.499,0.86376,0.87853,1.1165,0.89312,1,0.984,0.67243,1.08641,0.95666,1.21801,0.000582435,0.000582435,0.000582435
56,385.438,0.76642,0.80648,1.04089,0.89312,1,0.984,0.67243,1.08641,0.95666,1.21801,0.00056961,0.00056961,0.00056961
57,392.324,0.78525,0.75019,1.02173,0.98279,1,0.995,0.66583,1.09469,0.93984,1.20274,0.000556742,0.000556742,0.000556742
58,399.18,0.75241,0.75803,1.13485,0.98279,1,0.995,0.66583,1.09469,0.93984,1.20274,0.000543837,0.000543837,0.000543837
59,405.909,0.86876,0.81886,1.10729,0.98966,1,0.995,0.66688,1.0975,0.89511,1.20901,0.000530906,0.000530906,0.000530906
60,412.58,0.8348,0.75083,1.14759,0.98966,1,0.995,0.66688,1.0975,0.89511,1.20901,0.000517958,0.000517958,0.000517958
61,419.406,0.73649,0.82855,1.05877,0.99217,1,0.995,0.70894,1.13541,0.88167,1.25393,0.000505,0.000505,0.000505
62,426.431,0.73568,0.75028,1.07701,0.99217,1,0.995,0.70894,1.13541,0.88167,1.25393,0.000492042,0.000492042,0.000492042
63,433.483,0.7898,0.78778,1.11806,0.9921,1,0.995,0.66715,1.25421,0.95183,1.39366,0.000479094,0.000479094,0.000479094
64,440.38,0.82444,0.79936,1.12356,0.9921,1,0.995,0.66715,1.25421,0.95183,1.39366,0.000466163,0.000466163,0.000466163
65,447.403,0.73431,0.69991,1.05443,0.99119,1,0.995,0.6113,1.37354,0.99379,1.54022,0.000453258,0.000453258,0.000453258
66,454.136,0.83901,0.85343,1.0939,0.99119,1,0.995,0.6113,1.37354,0.99379,1.54022,0.00044039,0.00044039,0.00044039
67,460.933,0.84973,0.81045,1.1196,0.99148,1,0.995,0.61909,1.42613,0.98531,1.60246,0.000427565,0.000427565,0.000427565
68,468.177,0.87795,0.83933,1.0563,0.99148,1,0.995,0.61909,1.42613,0.98531,1.60246,0.000414793,0.000414793,0.000414793
69,476.893,0.78158,0.81452,1.07505,0.99202,1,0.995,0.62327,1.42575,0.97722,1.59202,0.000402084,0.000402084,0.000402084
70,484.687,0.74771,0.71189,1.02857,0.99202,1,0.995,0.62327,1.42575,0.97722,1.59202,0.000389445,0.000389445,0.000389445
71,492.211,0.76237,0.84989,1.07262,0.99242,1,0.995,0.61738,1.33493,0.9124,1.47244,0.000376885,0.000376885,0.000376885
72,500.032,0.70113,0.68966,1.14328,0.99242,1,0.995,0.61738,1.33493,0.9124,1.47244,0.000364412,0.000364412,0.000364412
73,507.721,0.75434,0.73382,1.0588,0.99143,1,0.995,0.62923,1.20792,0.89568,1.36244,0.000352037,0.000352037,0.000352037
74,515.404,0.69152,0.80675,1.04861,0.99143,1,0.995,0.62923,1.20792,0.89568,1.36244,0.000339766,0.000339766,0.000339766
75,522.484,0.78129,0.76538,1.11731,0.99126,1,0.995,0.62065,1.12241,0.89918,1.27125,0.000327608,0.000327608,0.000327608
76,528.334,0.75158,0.73584,1.0739,0.99126,1,0.995,0.62065,1.12241,0.89918,1.27125,0.000315572,0.000315572,0.000315572
77,534.074,0.68526,0.65609,1.02914,0.99188,1,0.995,0.62083,1.07395,0.855,1.22331,0.000303665,0.000303665,0.000303665
78,539.68,0.76929,0.72907,1.08241,0.99188,1,0.995,0.62083,1.07395,0.855,1.22331,0.000291897,0.000291897,0.000291897
79,545.604,0.73395,0.70038,1.08515,0.99344,1,0.995,0.63431,1.06169,0.78405,1.19977,0.000280275,0.000280275,0.000280275
80,551.212,0.70325,0.73422,1.04586,0.99344,1,0.995,0.63431,1.06169,0.78405,1.19977,0.000268806,0.000268806,0.000268806
81,557.047,0.64061,0.61496,1.00619,0.99877,1,0.995,0.66435,1.04421,0.77948,1.18153,0.0002575,0.0002575,0.0002575
82,562.715,0.76811,0.75856,1.13384,0.99877,1,0.995,0.66435,1.04421,0.77948,1.18153,0.000246363,0.000246363,0.000246363
83,568.572,0.69629,0.63959,1.06141,1,0.99653,0.995,0.66766,1.0282,0.79977,1.17176,0.000235404,0.000235404,0.000235404
84,574.604,0.75723,0.64898,1.05996,1,0.99653,0.995,0.66766,1.0282,0.79977,1.17176,0.000224629,0.000224629,0.000224629
85,580.323,0.64758,0.64456,1.0639,1,0.99539,0.995,0.66073,1.04626,0.81723,1.18618,0.000214046,0.000214046,0.000214046
86,585.881,0.75052,0.71748,1.0915,1,0.99539,0.995,0.66073,1.04626,0.81723,1.18618,0.000203663,0.000203663,0.000203663
87,591.618,0.7381,0.75532,1.11155,1,0.99465,0.995,0.69505,1.05161,0.805,1.18447,0.000193486,0.000193486,0.000193486
