epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1377,1.64702,3.248,1.20068,0.00136,0.1,0.03091,0.0164,1.99379,3.92946,1.37388,0.000324786,0.000324786,0.0678462
2,75.5239,1.58262,2.57573,1.19899,0.33296,0.12924,0.17448,0.09778,1.59038,2.95579,1.12691,0.000657869,0.000657869,0.0348459
3,111.871,1.50673,2.35164,1.1872,0.34657,0.22819,0.25033,0.14321,1.47258,2.47159,1.09893,0.00098994,0.00098994,0.00184464
4,145.374,1.576,2.33801,1.19254,0.36369,0.29688,0.28525,0.16101,1.47393,2.20083,1.09281,0.000996569,0.000996569,0.000996569
5,178.858,1.49839,2.25506,1.16655,0.3392,0.35058,0.30389,0.17148,1.48721,2.13463,1.11255,0.000993906,0.000993906,0.000993906
6,213.085,1.51585,2.13669,1.18971,0.40354,0.41938,0.33254,0.18516,1.468,2.10922,1.10838,0.000990489,0.000990489,0.000990489
7,246.814,1.4659,2.06534,1.14879,0.41309,0.43674,0.37438,0.22291,1.3799,1.96122,1.08277,0.000986323,0.000986323,0.000986323
8,280.484,1.40539,1.97073,1.14957,0.48134,0.30059,0.39321,0.2315,1.4043,1.90686,1.1133,0.000981415,0.000981415,0.000981415
9,314.806,1.40973,1.99232,1.12846,0.38156,0.41602,0.38429,0.23004,1.41736,1.84455,1.10281,0.000975773,0.000975773,0.000975773
10,349.325,1.40386,1.89665,1.11824,0.45018,0.3928,0.38541,0.23545,1.37751,1.85753,1.0772,0.000969405,0.000969405,0.000969405
11,384.067,1.35709,2.15737,1.07744,0.41447,0.42009,0.4101,0.24542,1.36992,1.84664,1.0756,0.00096232,0.00096232,0.00096232
12,417.782,1.3595,1.80751,1.10066,0.47808,0.38315,0.39873,0.23291,1.42644,1.83711,1.08746,0.000954531,0.000954531,0.000954531
13,455.613,1.42445,1.88667,1.1371,0.38281,0.3888,0.38998,0.2393,1.31451,1.84819,1.05991,0.000946048,0.000946048,0.000946048
14,493.136,1.36873,1.86538,1.12307,0.4275,0.42194,0.4219,0.25618,1.35151,1.73458,1.06145,0.000936886,0.000936886,0.000936886
15,530.641,1.40671,1.79526,1.12005,0.53429,0.41474,0.42929,0.26938,1.31808,1.68353,1.0581,0.000927057,0.000927057,0.000927057
16,567.988,1.29738,1.6954,1.08449,0.57751,0.39148,0.43763,0.27386,1.31696,1.65317,1.05809,0.000916577,0.000916577,0.000916577
17,602.081,1.29054,1.64392,1.07418,0.43222,0.46268,0.42774,0.26326,1.32982,1.70714,1.04881,0.000905463,0.000905463,0.000905463
18,634.21,1.32563,1.6766,1.08356,0.4507,0.49392,0.44188,0.26192,1.36997,1.67413,1.0709,0.000893732,0.000893732,0.000893732
19,666.544,1.29915,1.57358,1.05531,0.49551,0.50503,0.45086,0.25811,1.46187,1.61871,1.09553,0.000881401,0.000881401,0.000881401
20,698.736,1.31354,1.62343,1.07996,0.51954,0.45596,0.45631,0.27862,1.36516,1.56888,1.06366,0.00086849,0.00086849,0.00086849
21,731.996,1.33822,1.62687,1.08779,0.55617,0.42786,0.46437,0.27646,1.3965,1.56648,1.06305,0.000855018,0.000855018,0.000855018
22,766.188,1.36588,1.58349,1.08792,0.57242,0.43758,0.45537,0.28139,1.2858,1.55718,1.04778,0.000841006,0.000841006,0.000841006
23,800.513,1.27317,1.52775,1.05136,0.49547,0.48588,0.46145,0.2771,1.35665,1.57306,1.05528,0.000826477,0.000826477,0.000826477
24,842.769,1.30058,1.55229,1.05361,0.52618,0.46671,0.47256,0.29531,1.29561,1.54324,1.03807,0.000811452,0.000811452,0.000811452
25,885.678,1.22869,1.48266,1.07354,0.55136,0.48132,0.48198,0.30392,1.29411,1.50932,1.03569,0.000795954,0.000795954,0.000795954
26,931.515,1.29211,1.48992,1.06611,0.56511,0.47249,0.47676,0.30313,1.30496,1.47283,1.04398,0.000780007,0.000780007,0.000780007
27,977.323,1.23688,1.47344,1.07638,0.57245,0.43221,0.47212,0.29333,1.32402,1.48638,1.04576,0.000763637,0.000763637,0.000763637
28,1021.63,1.28235,1.44063,1.06547,0.45235,0.49456,0.4726,0.28685,1.34004,1.4884,1.05215,0.000746868,0.000746868,0.000746868
29,1059.88,1.24106,1.42273,1.04425,0.57177,0.45739,0.49206,0.29121,1.36267,1.47746,1.05942,0.000729725,0.000729725,0.000729725
30,1097.28,1.22857,1.45821,1.02868,0.49896,0.54766,0.50425,0.31172,1.32144,1.43654,1.05232,0.000712237,0.000712237,0.000712237
31,1136.26,1.21745,1.36411,1.02422,0.48133,0.49733,0.49599,0.30456,1.33836,1.41383,1.05843,0.000694428,0.000694428,0.000694428
32,1170.48,1.22343,1.40082,1.05727,0.4908,0.46783,0.49086,0.30228,1.28673,1.4279,1.05185,0.000676328,0.000676328,0.000676328
33,1207.09,1.24659,1.38607,1.03837,0.53867,0.52719,0.50599,0.3096,1.31778,1.38383,1.05842,0.000657963,0.000657963,0.000657963
34,1241.84,1.19411,1.41786,1.05692,0.61766,0.47994,0.50792,0.32426,1.24275,1.38448,1.03722,0.000639363,0.000639363,0.000639363
35,1277.48,1.17824,1.36687,1.03544,0.57177,0.50262,0.5152,0.31921,1.28533,1.39112,1.03429,0.000620555,0.000620555,0.000620555
36,1313.65,1.20862,1.35063,1.03913,0.44499,0.53751,0.50745,0.31187,1.28529,1.37534,1.03055,0.00060157,0.00060157,0.00060157
37,1349.97,1.30966,1.61295,1.05225,0.61719,0.43018,0.50974,0.32643,1.22663,1.36059,1.01901,0.000582435,0.000582435,0.000582435
38,1385.01,1.13568,1.34395,1.01405,0.56708,0.47618,0.52371,0.32849,1.24934,1.34377,1.01951,0.000563181,0.000563181,0.000563181
39,1420.69,1.14618,1.29663,1.02195,0.51513,0.52692,0.52355,0.32773,1.30032,1.33391,1.02625,0.000543837,0.000543837,0.000543837
40,1456.42,1.14718,1.30418,1.02138,0.55357,0.46647,0.517,0.3256,1.2937,1.32252,1.03054,0.000524434,0.000524434,0.000524434
41,1491.63,1.20083,1.28777,1.02899,0.49868,0.52823,0.51585,0.32674,1.27066,1.32691,1.03154,0.000505,0.000505,0.000505
42,1526.88,1.16204,1.27573,0.99511,0.53763,0.53696,0.52178,0.33219,1.26468,1.33369,1.03532,0.000485566,0.000485566,0.000485566
43,1562.76,1.17305,1.24185,1.00512,0.50306,0.55889,0.51134,0.32778,1.27086,1.29705,1.0305,0.000466163,0.000466163,0.000466163
44,1598.01,1.135,1.2125,1.00123,0.4792,0.54795,0.51572,0.3296,1.25855,1.28728,1.02365,0.000446819,0.000446819,0.000446819
45,1633.38,1.08863,1.27283,0.98607,0.52319,0.47815,0.51362,0.32761,1.26448,1.3001,1.02866,0.000427565,0.000427565,0.000427565
46,1668.27,1.12064,1.23458,1.00528,0.60376,0.44055,0.51622,0.32502,1.328,1.3023,1.0423,0.00040843,0.00040843,0.00040843
47,1704.39,1.17564,1.38626,0.99235,0.6277,0.44745,0.52425,0.32537,1.36458,1.29614,1.05344,0.000389445,0.000389445,0.000389445
48,1739.12,1.1622,1.21007,1.00005,0.64346,0.44453,0.5355,0.33561,1.33938,1.29721,1.04865,0.000370637,0.000370637,0.000370637
49,1774.41,1.08993,1.16234,0.98566,0.70939,0.45002,0.53679,0.34556,1.29506,1.28155,1.04385,0.000352037,0.000352037,0.000352037
50,1810.21,1.15192,1.20656,1.00568,0.63028,0.46483,0.53611,0.3415,1.29984,1.27301,1.04341,0.000333672,0.000333672,0.000333672
