epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.238,2.61446,3.80817,1.28113,0.30942,0.24598,0.19509,0.07568,2.26945,3.09005,1.1925,0.000554315,0.000554315,0.000554315
2,481.356,2.40032,2.86784,1.17004,0.43247,0.3258,0.2932,0.11281,2.1341,2.83315,1.17798,0.00105504,0.00105504,0.00105504
3,703.412,2.34015,2.73296,1.14747,0.45835,0.31888,0.29721,0.11313,2.17244,2.66388,1.16852,0.00150075,0.00150075,0.00150075
4,928.847,2.25893,2.62667,1.13054,0.49527,0.3568,0.35741,0.1436,2.03859,2.52203,1.13209,0.00141945,0.00141945,0.00141945
5,1158.17,2.23498,2.56218,1.11618,0.54952,0.36822,0.35948,0.14356,2.03813,2.58877,1.13403,0.00133693,0.00133693,0.00133693
6,1388.4,2.21224,2.48532,1.10124,0.52636,0.38471,0.3753,0.15268,1.98032,2.39152,1.11474,0.00125442,0.00125442,0.00125442
7,1619.34,2.17782,2.44034,1.08863,0.57844,0.37662,0.38992,0.1587,1.94299,2.36034,1.10211,0.0011719,0.0011719,0.0011719
8,1853.4,2.14503,2.40046,1.08145,0.57776,0.4013,0.40702,0.17469,1.89719,2.29099,1.09447,0.00108938,0.00108938,0.00108938
9,2084.25,2.12804,2.36448,1.07923,0.57494,0.40955,0.41804,0.178,1.89495,2.29166,1.08153,0.00100687,0.00100687,0.00100687
10,2315.03,2.0956,2.31954,1.06996,0.59689,0.40913,0.42281,0.1816,1.867,2.2234,1.07975,0.000924352,0.000924352,0.000924352
11,2532.61,1.99816,2.23543,1.07241,0.57415,0.41469,0.42171,0.18331,1.86395,2.2139,1.07571,0.000841835,0.000841835,0.000841835
12,2767.51,1.96586,2.17829,1.05448,0.6049,0.42082,0.43582,0.19036,1.83422,2.15264,1.0668,0.000759318,0.000759318,0.000759318
13,2994.2,1.93956,2.13614,1.05125,0.59495,0.43761,0.45226,0.19785,1.82241,2.18079,1.06453,0.000676802,0.000676802,0.000676802
14,3221.17,1.93578,2.11456,1.04453,0.60005,0.43205,0.44564,0.19017,1.84209,2.14806,1.06588,0.000594286,0.000594286,0.000594286
15,3448.28,1.90609,2.07573,1.04347,0.60457,0.4355,0.45459,0.20022,1.8051,2.08211,1.05544,0.000511769,0.000511769,0.000511769
16,3672.16,1.90232,2.05707,1.03393,0.60649,0.43831,0.45579,0.20286,1.79444,2.06502,1.05402,0.000429253,0.000429253,0.000429253
17,3898.87,1.88389,2.02871,1.02699,0.60776,0.45287,0.46617,0.20904,1.77467,2.03564,1.04871,0.000346736,0.000346736,0.000346736
18,4119.87,1.8643,2.00486,1.02383,0.62387,0.44829,0.46599,0.20893,1.76762,2.04029,1.04859,0.00026422,0.00026422,0.00026422
19,4336.55,1.84895,1.98314,1.0201,0.63103,0.44958,0.47655,0.21373,1.74979,2.00275,1.04374,0.000181703,0.000181703,0.000181703
20,4554.8,1.83904,1.964,1.01601,0.63408,0.4523,0.47782,0.21421,1.75409,2.00054,1.04425,9.91865e-05,9.91865e-05,9.91865e-05
