epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.293,1.22678,5.74104,0.93258,0.42625,0.23271,0.08346,0.06537,0.97242,4.32726,0.84816,0.000110419,0.000110419,0.000110419
2,377.518,1.02105,4.45828,0.85255,0.49993,0.19251,0.13613,0.10968,0.80282,3.58437,0.8341,0.000206805,0.000206805,0.000206805
3,601.174,0.98025,4.00801,0.8432,0.36787,0.30365,0.19864,0.15591,0.84212,3.29516,0.83554,0.00028854,0.00028854,0.00028854
4,791.64,0.9308,3.59403,0.83431,0.24026,0.359,0.21569,0.17479,0.78177,2.91223,0.8349,0.000267066,0.000267066,0.000267066
5,1002.55,0.8852,3.20383,0.84034,0.29531,0.37031,0.26961,0.22207,0.73376,2.61785,0.82696,0.000245088,0.000245088,0.000245088
6,1196.21,0.8319,3.73958,0.83216,0.33957,0.39353,0.30165,0.24263,0.72899,2.55188,0.8279,0.00022311,0.00022311,0.00022311
7,1381.02,0.79637,3.32591,0.83286,0.43446,0.37181,0.32724,0.26507,0.72249,2.4178,0.82947,0.000201132,0.000201132,0.000201132
8,1563.72,0.77469,3.21654,0.83052,0.34542,0.43938,0.36505,0.30582,0.67801,2.29673,0.82187,0.000179154,0.000179154,0.000179154
9,1756.33,0.77489,3.05102,0.83971,0.36083,0.48593,0.38596,0.32439,0.66938,2.17425,0.82316,0.000157176,0.000157176,0.000157176
10,1935.18,0.75653,2.9786,0.83207,0.46826,0.47641,0.41087,0.3456,0.66764,2.11733,0.82067,0.000135198,0.000135198,0.000135198
11,2156.64,0.71772,2.76199,0.81986,0.48514,0.4041,0.40529,0.34267,0.64281,2.05239,0.81572,0.00011322,0.00011322,0.00011322
12,2362.79,0.70866,2.78821,0.81744,0.41354,0.4453,0.42688,0.36059,0.6359,1.98222,0.81448,9.1242e-05,9.1242e-05,9.1242e-05
13,2549.2,0.69778,2.65352,0.82248,0.4562,0.45125,0.4217,0.35441,0.65795,1.96541,0.81586,6.9264e-05,6.9264e-05,6.9264e-05
14,2763.88,0.68053,2.6106,0.81197,0.52933,0.41435,0.42884,0.36998,0.61935,1.89548,0.81309,4.7286e-05,4.7286e-05,4.7286e-05
15,2978.22,0.70601,2.59506,0.81498,0.52595,0.42573,0.4317,0.3708,0.62024,1.88296,0.81372,2.5308e-05,2.5308e-05,2.5308e-05
