epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8005,0.4863,3.74886,1.0364,0.00537,0.11111,0.03728,0.00781,2.19628,4.37789,3.25086,0.00012,0.00012,0.08812
2,49.7826,0.44084,3.05411,1.00282,8e-05,0.07407,7e-05,3e-05,3.26532,4.6744,4.62408,0.000243943,0.000243943,0.0752439
3,73.2137,0.42803,2.80212,1.04536,0.00374,0.40741,0.01461,0.00336,2.39587,4.18054,3.10213,0.000344076,0.000344076,0.0623441
4,97.204,0.41581,2.52885,1.01001,0.01782,0.88889,0.16205,0.12658,0.4762,3.7028,1.01022,0.000405936,0.000405936,0.0494059
5,120.579,0.43138,2.3748,1.00392,0.0369,0.96296,0.62972,0.55843,0.47057,3.4485,1.00432,0.000421097,0.000421097,0.0364211
6,145.397,0.4492,2.09001,1.02179,0.03455,1,0.77027,0.67679,0.61214,3.01359,1.08124,0.00038885,0.00038885,0.0233889
7,169.217,0.41296,1.84365,0.95205,0.95992,0.19645,0.90837,0.79565,0.53593,2.63128,0.99766,0.000316833,0.000316833,0.0103168
8,192.368,0.44763,1.85201,1.03602,0.90106,0.57611,0.85451,0.75799,0.51225,2.41401,0.97442,0.000214046,0.000214046,0.000214046
9,216.84,0.35736,1.65715,0.9541,0.59722,0.8302,0.8503,0.7632,0.48642,2.00196,0.94776,0.000104537,0.000104537,0.000104537
10,239.794,0.36956,1.62904,0.98012,0.60939,0.9051,0.85405,0.7667,0.48408,1.85084,0.94574,3.4227e-05,3.4227e-05,3.4227e-05
