epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.0104,0.41784,3.71284,1.06183,0.01096,1,0.25277,0.22479,0.16731,4.21878,0.82764,0.0001785,0.0001785,0.0001785
2,90.9862,0.4,3.47164,1.05125,0.01203,1,0.25019,0.24054,0.18436,4.04057,0.80019,0.000352123,0.000352123,0.000352123
3,145.652,0.39249,3.25658,1.00702,0.00828,1,0.26211,0.25206,0.22453,3.82875,0.80148,0.000513495,0.000513495,0.000513495
4,192.046,0.43126,3.05038,1.06697,0.73533,0.3184,0.4257,0.40467,0.29618,3.3292,0.88048,0.000643314,0.000643314,0.000643314
5,233.967,0.45875,2.82399,1.07198,0.6969,0.3484,0.46713,0.4331,0.39725,3.1461,0.96193,0.000619752,0.000619752,0.000619752
6,278.315,0.45111,2.7132,1.07309,0.5451,0.60043,0.68525,0.63796,0.399,3.066,0.94698,0.00059619,0.00059619,0.00059619
7,319.978,0.47433,2.59373,1.06362,0.62229,0.74074,0.75151,0.71454,0.37447,3.13458,0.91936,0.000572628,0.000572628,0.000572628
8,362.556,0.38955,2.34629,1.00348,0.63419,0.64881,0.71459,0.66226,0.33144,3.35583,0.91194,0.000549066,0.000549066,0.000549066
9,407.172,0.41995,2.29164,1.06634,0.55286,0.71879,0.77585,0.70074,0.29332,3.32903,0.889,0.000525504,0.000525504,0.000525504
10,450.084,0.37359,2.15259,0.9885,0.70732,0.68175,0.77308,0.71062,0.29005,3.81672,0.89111,0.000501942,0.000501942,0.000501942
11,495.305,0.45221,2.1814,1.09005,0.73294,0.76399,0.82871,0.80348,0.29273,2.87221,0.87824,0.00047838,0.00047838,0.00047838
12,539.473,0.39875,2.05668,1.01195,0.862,0.72895,0.92319,0.89875,0.29346,2.49485,0.856,0.000454818,0.000454818,0.000454818
13,595.828,0.36298,1.87772,0.97956,0.53626,0.94806,0.89782,0.8576,0.31311,2.42043,0.86413,0.000431256,0.000431256,0.000431256
14,664.479,0.38945,1.96925,1.02182,0.67084,0.7656,0.92075,0.89849,0.31428,2.65825,0.87818,0.000407694,0.000407694,0.000407694
15,743.964,0.33223,1.82831,0.94824,0.51441,0.88889,0.87093,0.8636,0.20349,2.13646,0.79944,0.000384132,0.000384132,0.000384132
16,803.127,0.35513,1.82054,0.99354,0.70325,0.79274,0.86481,0.86481,0.17012,2.03334,0.77911,0.00036057,0.00036057,0.00036057
17,855.212,0.31215,1.68714,0.94734,0.56743,0.98473,0.86376,0.86376,0.15769,1.87894,0.76859,0.000337008,0.000337008,0.000337008
18,901.014,0.29117,1.60989,0.94453,0.57996,1,0.92167,0.92167,0.15755,1.91668,0.76981,0.000313446,0.000313446,0.000313446
19,941.756,0.31813,1.67496,0.95162,0.8033,0.84521,0.92778,0.92778,0.16672,2.37211,0.77482,0.000289884,0.000289884,0.000289884
20,989.278,0.30959,1.52127,0.96499,0.75858,0.88703,0.92778,0.92778,0.16079,2.18389,0.76835,0.000266322,0.000266322,0.000266322
21,1060.06,0.18931,1.76825,0.82844,0.73915,0.87784,0.87983,0.87983,0.15688,2.04502,0.76586,0.00024276,0.00024276,0.00024276
22,1129.51,0.16851,1.75695,0.82696,0.73201,0.85185,0.96444,0.96444,0.14164,1.81254,0.75885,0.000219198,0.000219198,0.000219198
23,1169.86,0.18976,1.84779,0.86833,0.77398,0.84138,0.95833,0.95833,0.13839,1.74718,0.75709,0.000195636,0.000195636,0.000195636
24,1210.16,0.17835,1.87263,0.8428,0.73339,0.96651,0.95833,0.95833,0.13817,1.71213,0.75634,0.000172074,0.000172074,0.000172074
25,1251.93,0.15418,1.76234,0.8295,0.8022,0.90863,0.95894,0.95894,0.14549,1.74755,0.75681,0.000148512,0.000148512,0.000148512
26,1294.26,0.17065,1.67336,0.84945,0.86191,0.87195,0.95894,0.95894,0.14903,1.74357,0.75759,0.00012495,0.00012495,0.00012495
27,1339.28,0.14463,1.66528,0.7937,0.88582,0.9001,0.97117,0.97117,0.1362,1.67652,0.75277,0.000101388,0.000101388,0.000101388
28,1380.9,0.15301,1.66223,0.84973,0.89448,0.91197,0.97117,0.97117,0.13022,1.59307,0.74964,7.7826e-05,7.7826e-05,7.7826e-05
29,1421.54,0.13855,1.62406,0.80449,0.90924,0.92593,0.97667,0.97667,0.12731,1.57387,0.74839,5.4264e-05,5.4264e-05,5.4264e-05
30,1465.25,0.14564,1.5933,0.81253,0.89251,0.92593,0.97667,0.97667,0.12338,1.57777,0.74757,3.0702e-05,3.0702e-05,3.0702e-05
