epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.9309,0.50963,4.12636,1.14494,0.02872,0.21053,0.08113,0.08113,0.15654,4.51756,0.80241,0.000136327,0.000136327,0.000136327
2,168.851,0.50114,3.92802,1.13582,0.04278,1,0.2007,0.19721,0.23273,4.10906,0.83001,0.000266241,0.000266241,0.000266241
3,245.804,0.41825,3.65328,1.05043,0.39027,0.40789,0.29945,0.28063,0.26185,3.80402,0.83798,0.000386981,0.000386981,0.000386981
4,327.63,0.41828,3.36769,1.05571,0.62576,0.37135,0.40729,0.39389,0.24215,3.72122,0.84483,0.000375717,0.000375717,0.000375717
5,413.923,0.45993,3.25156,1.06633,0.27976,0.59991,0.56441,0.52143,0.29138,3.40849,0.87564,0.000361956,0.000361956,0.000361956
6,519.924,0.4524,2.98216,1.05946,0.47413,0.7098,0.65713,0.6203,0.29502,3.0974,0.86097,0.000348195,0.000348195,0.000348195
7,682.753,0.44784,2.80141,1.05938,0.70206,0.60622,0.73344,0.69636,0.25325,3.06542,0.84179,0.000334434,0.000334434,0.000334434
8,763.048,0.45701,2.65986,1.06418,0.62187,0.70025,0.75935,0.72793,0.22597,2.72842,0.82949,0.000320673,0.000320673,0.000320673
9,843.214,0.46329,2.6156,1.05908,0.48506,0.89033,0.76105,0.74778,0.20589,3.34017,0.80905,0.000306912,0.000306912,0.000306912
10,947.482,0.39956,2.43864,1.01597,0.50766,0.92402,0.84766,0.84111,0.20916,2.52357,0.80787,0.000293151,0.000293151,0.000293151
11,1052.99,0.40258,2.38505,1.01001,0.47422,0.90667,0.88854,0.87398,0.21844,2.70158,0.82312,0.00027939,0.00027939,0.00027939
12,1151.61,0.37599,2.19262,0.9901,0.56058,0.91573,0.91426,0.89001,0.23403,2.96702,0.81408,0.000265629,0.000265629,0.000265629
13,1238.93,0.37655,2.2184,1.00337,0.59593,0.93604,0.93193,0.91228,0.2027,2.29862,0.80904,0.000251868,0.000251868,0.000251868
14,1326.15,0.35818,2.04608,0.99928,0.74442,0.90633,0.94036,0.93184,0.20276,2.04293,0.80663,0.000238107,0.000238107,0.000238107
15,1412.12,0.35791,2.09381,0.99186,0.83426,0.87719,0.9514,0.94223,0.18367,1.99698,0.79963,0.000224346,0.000224346,0.000224346
16,1497.04,0.36541,1.93108,1.00851,0.68273,0.95799,0.95753,0.95229,0.1727,1.87661,0.80325,0.000210585,0.000210585,0.000210585
17,1583.6,0.33844,1.88199,0.99175,0.73281,0.94737,0.97763,0.97566,0.16539,1.92324,0.79269,0.000196824,0.000196824,0.000196824
18,1667.26,0.31579,1.73157,0.98439,0.72104,0.96358,0.97031,0.9559,0.14944,1.81726,0.78353,0.000183063,0.000183063,0.000183063
19,1752.06,0.32904,1.72305,0.96846,0.79732,0.95201,0.97937,0.9666,0.14804,1.77262,0.78328,0.000169302,0.000169302,0.000169302
20,1885.28,0.33003,1.65458,0.97276,0.82019,0.90851,0.97937,0.97413,0.14304,1.74445,0.78302,0.000155541,0.000155541,0.000155541
21,1980.56,0.18433,1.59817,0.849,0.82898,0.9507,0.98632,0.98108,0.13477,1.70589,0.7757,0.00014178,0.00014178,0.00014178
22,2063.01,0.17381,1.66016,0.87817,0.87397,0.94509,0.98226,0.97571,0.1296,1.52419,0.7747,0.000128019,0.000128019,0.000128019
23,2147.69,0.16383,1.60745,0.83077,0.92577,0.96685,0.98805,0.98805,0.13025,1.62725,0.77422,0.000114258,0.000114258,0.000114258
24,2230.73,0.16653,1.50843,0.858,0.88867,0.98246,0.98805,0.98282,0.13306,1.77017,0.77345,0.000100497,0.000100497,0.000100497
25,2314.21,0.1596,1.48754,0.82735,0.90513,0.9838,0.995,0.98976,0.12214,1.60816,0.77199,8.6736e-05,8.6736e-05,8.6736e-05
26,2397.64,0.15325,1.41429,0.85257,0.94492,0.98854,0.995,0.995,0.11606,1.49013,0.76841,7.2975e-05,7.2975e-05,7.2975e-05
27,2479.27,0.14621,1.3936,0.83683,0.9502,0.98805,0.995,0.9927,0.12036,1.4512,0.76865,5.9214e-05,5.9214e-05,5.9214e-05
28,2562.52,0.15457,1.3937,0.83537,0.95538,0.99222,0.995,0.98747,0.12498,1.47872,0.77113,4.5453e-05,4.5453e-05,4.5453e-05
29,2646.06,0.14292,1.32377,0.82462,0.95418,0.99077,0.995,0.98747,0.11835,1.50687,0.76843,3.1692e-05,3.1692e-05,3.1692e-05
30,2729.7,0.15061,1.31774,0.81644,0.95205,0.99176,0.995,0.98976,0.11175,1.49508,0.76731,1.7931e-05,1.7931e-05,1.7931e-05
