                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.4903,                 3.6623,                  1.136,                 0.0762,                0.88889,                0.20254,                  0.191,                0.14641,                 4.2208,                0.83317,              4.284e-05,              4.284e-05,              4.284e-05
                      2,                0.34542,                 3.6395,                 1.0425,                0.05904,                0.71296,                0.19296,                0.18453,                0.11848,                 4.2054,                0.79032,             9.1901e-05,             9.1901e-05,             9.1901e-05
                      3,                0.35193,                 3.4543,                 1.0307,                0.06764,                0.88889,                0.26995,                0.26766,                0.11633,                 4.2027,                0.76861,             0.00013997,             0.00013997,             0.00013997
                      4,                0.32648,                 3.3648,                 0.9885,                 0.1024,                      1,                0.33083,                0.32987,                0.13025,                 4.2005,                0.79722,             0.00018705,             0.00018705,             0.00018705
                      5,                0.32098,                 3.2852,                0.98437,                0.05497,                      1,                0.41469,                0.41033,                0.14618,                 4.1919,                0.78862,             0.00023315,             0.00023315,             0.00023315
                      6,                0.36602,                 3.1078,                0.98523,                0.03651,                      1,                0.48299,                0.47861,                0.16008,                 4.1822,                0.80569,             0.00027825,             0.00027825,             0.00027825
                      7,                0.35682,                 3.0213,                0.98022,                0.01385,                      1,                0.37039,                0.33942,                0.39905,                 4.2714,                0.97123,             0.00032236,             0.00032236,             0.00032236
                      8,                0.36674,                 2.7832,                 1.0034,                0.01285,                      1,                0.41624,                0.38632,                0.37703,                 4.2433,                0.95259,             0.00036549,             0.00036549,             0.00036549
                      9,                0.42262,                 2.7232,                 1.0384,                0.01291,                      1,                0.54655,                 0.5306,                0.19602,                 4.0702,                0.79439,             0.00040762,             0.00040762,             0.00040762
                     10,                0.34618,                 2.4411,                0.96095,                0.00735,                      1,                0.68196,                0.64868,                0.29636,                 3.9102,                0.83822,             0.00044876,             0.00044876,             0.00044876
                     11,                 0.4283,                 2.3616,                 1.0275,                0.00596,                      1,                0.66636,                0.65855,                0.24307,                 3.8248,                0.80467,             0.00048892,             0.00048892,             0.00048892
                     12,                0.36779,                 2.1742,                0.98339,                      1,                0.14701,                0.68965,                0.63663,                0.30214,                 3.4844,                0.92224,             0.00052808,             0.00052808,             0.00052808
                     13,                0.40095,                 2.1692,                 1.0027,                0.94382,                 0.2382,                0.66495,                 0.6199,                0.29274,                 3.4291,                 0.9059,             0.00056626,             0.00056626,             0.00056626
                     14,                0.38923,                 1.9677,                0.99512,                 0.7997,                0.55556,                 0.6924,                0.68996,                0.24807,                 3.2088,                0.83111,             0.00060344,             0.00060344,             0.00060344
                     15,                 0.3467,                  1.871,                0.97099,                0.65962,                0.52477,                0.71935,                0.70518,                0.25988,                 3.1307,                0.83412,             0.00061504,             0.00061504,             0.00061504
                     16,                0.36635,                 1.8354,                 1.0074,                0.85569,                0.63413,                0.76782,                0.75174,                 0.2672,                 3.3314,                0.83985,             0.00060797,             0.00060797,             0.00060797
                     17,                0.31507,                 1.7562,                0.95844,                0.90018,                0.51106,                0.79557,                0.72468,                0.48596,                 3.3275,                 1.0013,              0.0006009,              0.0006009,              0.0006009
                     18,                0.31494,                 1.6115,                0.93579,                0.80803,                0.58333,                0.77496,                 0.5424,                0.80091,                 3.5607,                 1.4005,             0.00059383,             0.00059383,             0.00059383
                     19,                0.34842,                  1.631,                0.98694,                0.74712,                0.59715,                 0.8071,                0.71869,                0.44624,                 3.0932,                0.97659,             0.00058677,             0.00058677,             0.00058677
                     20,                0.33471,                 1.5673,                0.95808,                0.58483,                0.81481,                0.83433,                0.80236,                0.34594,                  2.569,                 0.9203,              0.0005797,              0.0005797,              0.0005797
                     21,                0.28075,                 1.4319,                 0.9198,                0.62875,                 0.8374,                0.84338,                0.82264,                0.32526,                 2.5354,                 0.8993,             0.00057263,             0.00057263,             0.00057263
                     22,                0.28981,                  1.417,                0.93932,                0.60976,                0.87308,                0.84211,                0.81824,                0.29598,                 2.4605,                0.86471,             0.00056556,             0.00056556,             0.00056556
                     23,                0.29792,                 1.3496,                0.94083,                0.75634,                0.80585,                0.87546,                0.86811,                0.23728,                 2.1717,                0.82803,             0.00055849,             0.00055849,             0.00055849
                     24,                0.28595,                 1.3159,                0.93598,                0.75786,                      1,                0.97667,                0.96818,                 0.2287,                 1.6925,                0.81755,             0.00055142,             0.00055142,             0.00055142
                     25,                0.30684,                 1.2017,                0.94599,                0.74525,                0.90985,                0.97667,                0.96836,                0.21243,                 1.7571,                0.81239,             0.00054435,             0.00054435,             0.00054435
                     26,                0.31103,                 1.3278,                0.94594,                0.67539,                0.93655,                  0.995,                  0.995,                0.18846,                 1.6924,                0.78566,             0.00053728,             0.00053728,             0.00053728
                     27,                0.29485,                 1.2156,                0.94868,                0.82518,                0.88889,                  0.995,                  0.995,                0.17532,                 1.5672,                0.77419,             0.00053022,             0.00053022,             0.00053022
                     28,                0.30472,                 1.2308,                 0.9269,                0.87525,                0.88889,                0.94733,                0.94733,                0.15868,                 1.5537,                0.76978,             0.00052315,             0.00052315,             0.00052315
                     29,                0.30451,                 1.1632,                0.93609,                0.91277,                      1,                  0.995,                  0.995,                0.17913,                 1.4247,                0.77492,             0.00051608,             0.00051608,             0.00051608
                     30,                0.29059,                 1.1904,                0.91443,                0.89198,                      1,                  0.995,                0.98645,                0.18837,                 1.3353,                0.78009,             0.00050901,             0.00050901,             0.00050901
                     31,                0.30828,                  1.186,                0.94719,                0.87731,                      1,                  0.995,                  0.995,                0.17521,                  1.299,                0.77049,             0.00050194,             0.00050194,             0.00050194
