id,violation_id,driver_id,police_id,amount,reason,status,location,vehicle_plate,due_date,payment_method,payment_reference,paid_at,created_at,updated_at
3d4072b0-edc1-4c0f-aba3-58f213080ba1,fd426442-60f0-4ea6-bd1c-803e73a60e26,48675819-3ab3-4322-aadb-b1b58038ca7a,f59b8123-3743-467f-ab0f-9f8110024214,30000,Traffic violation fine (synthetic private record).,paid,"Monivong / Russian, Phnom Penh",PP-3000,2026-08-30,khqr,PAY-PP-0001,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
ccb30546-e4f3-4ccc-bcc3-36d6128f5359,696e9f3f-36f4-4199-96c8-9621ca14e3ed,de75014b-ec8e-446b-a1a1-1c66c36db029,1518afdf-297a-49c5-8a7c-7815ce4edfdd,30000,Traffic violation fine (synthetic private record).,pending,"Russian / Monivong, Phnom Penh",PP-3001,2026-08-30,,,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
aef4da15-f572-4de0-9d04-ec84864bbe67,df4ad0f8-f7a5-446c-8fa1-d82a55dd059a,efe7849d-38d4-4ed2-88d2-9f6c4ab36a04,c844c4a8-6d0a-412e-8dc1-5b95a246458a,50000,Traffic violation fine (synthetic private record).,paid,"Monivong / Charles de Gaulle, Phnom Penh",PP-3002,2026-08-30,khqr,PAY-PP-0003,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
f1a39b3d-feaf-4022-bd07-e4d18e1eb72c,b8ae54b7-7cc3-4cb3-8b8e-9963e925e0c9,c42c9796-d122-4372-8a5a-240adf88dd2a,11ed348f-2a58-4cd2-a7b2-a5958c5e5d7a,30000,Traffic violation fine (synthetic private record).,pending,"Sihanouk / Monivong, Phnom Penh",PP-3003,2026-08-30,,,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
3889c1d8-43f3-46c2-85e4-fa7f3eea829e,da391511-e40d-427d-a21f-c7feee55d49e,11f9c0b2-16c0-41f0-baec-df905285c938,d884e21c-1ae5-45e7-bb29-75f795fdd23b,40000,Traffic violation fine (synthetic private record).,paid,"Monireth / Charles de Gaulle, Phnom Penh",PP-3004,2026-08-30,khqr,PAY-PP-0005,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
443903d6-ebbf-42ec-aeba-c2fee8655373,68803da7-5c9b-4b51-a614-f5da287e13d3,f4379a50-8a5e-41c7-8f01-aabdd0cfd366,4f2e09e6-974a-4a8d-a8a5-e9ed582f7696,30000,Traffic violation fine (synthetic private record).,awaiting_verification,"Monivong / Sihanouk, Phnom Penh",PP-3005,2026-08-30,,,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
6a0c1694-d4b9-4e5e-8f3a-81c01b5436eb,45ec51fd-40ba-48b3-b536-cafe1c524178,5ac529c6-f77b-4ac8-adbf-5cb7d0ad12d5,2f478d31-727d-4bde-917e-8eddbc1630ea,50000,Traffic violation fine (synthetic private record).,paid,"Norodom / Mao Tse Toung, Phnom Penh",PP-3006,2026-08-30,khqr,PAY-PP-0007,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
7b022190-dfd3-413a-ac8f-c14c45db7c73,935c74ad-1526-48a7-802f-52de27cdbac1,17d24adf-b841-4904-bc1a-e6e9e6d8970d,5c59b020-880c-417f-9fc1-49469032dddd,50000,Traffic violation fine (synthetic private record).,awaiting_verification,"Mao Tse Toung / Monivong, Phnom Penh",PP-3007,2026-08-30,,,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
9d5d4405-cbe9-4924-af7b-cc8c1b521f01,7eb5ab94-f997-4044-8f1c-814ff7291d6b,73167a17-d159-40a8-9c56-51368f7df173,0ae75c0f-0ee5-429c-9f79-23f74f2a9c64,20000,Traffic violation fine (synthetic private record).,paid,"Russian / Toul Kok, Phnom Penh",PP-3008,2026-08-30,khqr,PAY-PP-0009,2026-07-27T12:00:00Z,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
df99b845-0883-44bf-9be9-38568e7ddba8,57e4d26c-a120-4f86-a085-b376c84d9b86,855a6fd5-b341-47be-8920-24093b3b95e1,d56f0fab-d698-4a46-94e2-d27b19375d23,30000,Traffic violation fine (synthetic private record).,pending,"Street 221 / Russian Boulevard, Phnom Penh",PP-3009,2026-08-30,,,,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
