id,name,anchor_road_id,khan,city,source
INT-001,Monivong / Russian,c0d5c361-e4b2-4904-a539-e83a9a67ce7e,Chbar Ampov,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-002,Russian / Monivong,54f26c92-a002-4ca9-8444-058947517efe,Chroy Changvar,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-003,Monivong / Charles de Gaulle,03b28b95-1279-4cf4-ba13-755929a63ed1,Sen Sok,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-004,Sihanouk / Monivong,4c58fa6f-7dc0-4603-8780-566ce92f9b8f,Dangkao,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-005,Monireth / Charles de Gaulle,8f620d49-30df-4be5-861f-90dbdf5a04d9,Chroy Changvar,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-006,Monivong / Sihanouk,7aa99d7d-c1fb-4321-9fb8-83494a5a691c,Daun Penh,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-007,Norodom / Mao Tse Toung,e208de88-616f-4088-bd0e-64afdd5855de,Chamkar Mon,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-008,Mao Tse Toung / Monivong,f0611c4e-c6a9-4148-829b-f2e58fb270fa,Chbar Ampov,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-009,Russian / Toul Kok,89882834-b82c-4a38-b38c-bcceb2f51619,Por Sen Chey,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-010,Street 221 / Russian Boulevard,8f620d49-30df-4be5-861f-90dbdf5a04d9,Mean Chey,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-011,Monivong / Street 214,e3b1c929-b5b3-4964-800e-95a5189c97fe,Chamkar Mon,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-012,Norodom / Street 240,cf44d2fa-e134-44b3-9145-6bd21db4dfbb,Chroy Changvar,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-013,Sihanouk / Street 163,bc5390b1-3223-4058-96f1-35b3cc6b814b,Sen Sok,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-014,Street 51 / Street 240,8f946d1b-07a1-47c8-b82e-0ab8d929f5f9,Chbar Ampov,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-015,Street 271 / Monivong,9ebabe79-f720-4597-9785-d75deb5e248b,Chroy Changvar,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-016,Street 178 / Norodom,55098c9f-4608-411e-9d42-5814e2cb6f88,Prampir Makara,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-017,Street 240 / Russian Boulevard,8f620d49-30df-4be5-861f-90dbdf5a04d9,Sen Sok,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-018,Monireth / Mao Tse Toung,b4287d6d-0359-4dc9-9a2a-2ebd1b7121ac,Russey Keo,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-019,Monivong / Kbal Thanol Flyover,9479a649-083f-4bd5-ab87-f8779814ab0f,Por Sen Chey,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-020,Pet Lok Sang Junction,a0baf562-69fd-4eae-a75c-0e431d52e123,Por Sen Chey,Phnom Penh,JICA/MPWT PPUTMP PDF
INT-021,Chaom Chao Road / NR4,756d6b4a-0ee8-467e-9904-bd27b718aad6,Mean Chey,Phnom Penh,JICA/MPWT PPUTMP PDF
