id,name,road_code,road_type,length_km,speed_limit,lanes,direction,description,city,region,province,district,commune,village,country,status,is_deleted,created_at,updated_at
c0d5c361-e4b2-4904-a539-e83a9a67ce7e,Monivong Boulevard,PP-RD-001,urban,8.42,50,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Daun Penh,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
54f26c92-a002-4ca9-8444-058947517efe,Norodom Boulevard,PP-RD-002,urban,3.94,50,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Russey Keo,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
03b28b95-1279-4cf4-ba13-755929a63ed1,Preah Sihanouk Boulevard,PP-RD-003,urban,5.13,50,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Daun Penh,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
4c58fa6f-7dc0-4603-8780-566ce92f9b8f,Mao Tse Toung Boulevard,PP-RD-004,urban,3.49,50,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Prampir Makara,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
8f620d49-30df-4be5-861f-90dbdf5a04d9,Russian Boulevard,PP-RD-005,urban,1.2,50,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Chroy Changvar,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
7aa99d7d-c1fb-4321-9fb8-83494a5a691c,Charles de Gaulle Boulevard,PP-RD-006,urban,1.62,50,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Chamkar Mon,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
e208de88-616f-4088-bd0e-64afdd5855de,Sisowath Quay Boulevard,PP-RD-007,urban,5.41,50,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Russey Keo,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
f0611c4e-c6a9-4148-829b-f2e58fb270fa,Sothearos Boulevard,PP-RD-008,urban,3.46,50,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Chroy Changvar,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
89882834-b82c-4a38-b38c-bcceb2f51619,Monireth Boulevard,PP-RD-009,urban,6.64,50,2,one-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Chbar Ampov,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
756d6b4a-0ee8-467e-9904-bd27b718aad6,Chaom Chao Road,PP-RD-010,urban,1.54,50,4,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Chamkar Mon,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
70a63383-a231-4894-a8e0-fdc0bde57b01,Hanoi Road,PP-RD-011,urban,2.09,50,2,two-way,From JICA/MPWT PPUTMP PDF location reference,Phnom Penh,Phnom Penh,Phnom Penh,Chamkar Mon,,,Cambodia,active,False,2026-07-27T00:00:00Z,2026-07-27T00:00:00Z
