id,road_id,signal_code,cycle_duration,timing_sequence,status,created_at
46bd5772-6f71-4b8f-8794-bffea7c4c5fc,c0d5c361-e4b2-4904-a539-e83a9a67ce7e,SIG-PP-001,110,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
c5766e39-08f7-42f1-b109-06057b48808d,54f26c92-a002-4ca9-8444-058947517efe,SIG-PP-002,130,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
4d92ece3-d53f-4754-b971-2eb931071799,03b28b95-1279-4cf4-ba13-755929a63ed1,SIG-PP-003,100,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
a73c2b8a-5d8f-4bd5-84b0-82bcf669c8c9,4c58fa6f-7dc0-4603-8780-566ce92f9b8f,SIG-PP-004,90,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
146416a7-09bb-49b8-86a5-682ad9922851,8f620d49-30df-4be5-861f-90dbdf5a04d9,SIG-PP-005,130,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
13d35577-ac23-479b-9d10-0e9766488b05,7aa99d7d-c1fb-4321-9fb8-83494a5a691c,SIG-PP-006,120,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
ddf2cb00-6909-47b7-8a94-a803ac917f5e,e208de88-616f-4088-bd0e-64afdd5855de,SIG-PP-007,110,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
3a0b243e-796f-4bb4-8469-12e9ceb7e5fc,f0611c4e-c6a9-4148-829b-f2e58fb270fa,SIG-PP-008,110,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
3d4b802a-7024-4503-91d6-34b999ad939d,89882834-b82c-4a38-b38c-bcceb2f51619,SIG-PP-009,120,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
8c43be52-07ed-4147-aed0-1254232b2e75,8f620d49-30df-4be5-861f-90dbdf5a04d9,SIG-PP-010,110,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
84251155-5aea-4a1e-9f28-9b9ef60fef59,e3b1c929-b5b3-4964-800e-95a5189c97fe,SIG-PP-011,120,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
044b1132-4aae-41fd-837c-46f27ffd9697,cf44d2fa-e134-44b3-9145-6bd21db4dfbb,SIG-PP-012,90,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
2f2689c1-81a3-40fe-a508-510d6554851c,bc5390b1-3223-4058-96f1-35b3cc6b814b,SIG-PP-013,110,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
6cd98450-3fe8-43b6-81aa-47a509d304da,8f946d1b-07a1-47c8-b82e-0ab8d929f5f9,SIG-PP-014,110,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
ce64675f-80c7-41b2-be4f-0300eb01859f,9ebabe79-f720-4597-9785-d75deb5e248b,SIG-PP-015,110,"{'green': 40, 'amber': 5, 'red': 55}",active,2026-07-27T00:00:00Z
