id,driver_id,owner_id,plate_number,vehicle_type,make,model,color,year,status,created_at
b7d408b0-a438-4fc5-ad1f-2c21908621a2,9220006a-8943-4fed-97de-0804c0078e1e,48675819-3ab3-4322-aadb-b1b58038ca7a,PP-3000,bus,Suzuki,Prius,Blue,2019,active,2026-07-27T00:00:00Z
cf440eea-064b-4450-a152-bf7bf90aaf1a,844d16c0-24c7-45b6-b334-29b1c2118743,de75014b-ec8e-446b-a1a1-1c66c36db029,PP-3001,car,Hyundai,Wave,Silver,2021,active,2026-07-27T00:00:00Z
e10ba921-8380-4493-b945-5ec9a2fcbe59,c9cd539a-3578-4c6e-8612-7523587e6899,efe7849d-38d4-4ed2-88d2-9f6c4ab36a04,PP-3002,motorcycle,Yamaha,Vios,Silver,2021,active,2026-07-27T00:00:00Z
2c308831-f526-47a1-9018-6c8a831a9fb0,bbf384f9-c063-4696-815d-1f1422346df9,c42c9796-d122-4372-8a5a-240adf88dd2a,PP-3003,bus,Toyota,Wave,Blue,2021,active,2026-07-27T00:00:00Z
1de43c52-8ece-40f6-bdd2-9c40c90becd0,186d30a8-6535-410c-bacc-a83a31f7434c,11f9c0b2-16c0-41f0-baec-df905285c938,PP-3004,bus,Toyota,Prius,Blue,2023,active,2026-07-27T00:00:00Z
2c415e8e-27ca-4e7d-9bf6-ab47c3ce3cd3,9348cb7c-72c4-4462-ab71-93d0d0243c35,f4379a50-8a5e-41c7-8f01-aabdd0cfd366,PP-3005,motorcycle,Toyota,Wave,White,2024,active,2026-07-27T00:00:00Z
71da3a8a-d7b8-4320-9ac2-bb1afaab7dd0,001a5ba2-c125-4647-9059-827c3f4b213f,5ac529c6-f77b-4ac8-adbf-5cb7d0ad12d5,PP-3006,car,Honda,Tucson,Red,2021,active,2026-07-27T00:00:00Z
e162634c-51fa-4d68-930f-2fcf555bcbb1,9ae78188-28b7-4e0d-ae0c-f438f094818f,17d24adf-b841-4904-bc1a-e6e9e6d8970d,PP-3007,car,Toyota,Tucson,Blue,2023,active,2026-07-27T00:00:00Z
e59ca6bb-eb9d-435d-9742-3723c851d87d,add10db0-7fcc-4d48-b8e7-5997e17b3871,73167a17-d159-40a8-9c56-51368f7df173,PP-3008,car,Toyota,Tucson,Silver,2023,active,2026-07-27T00:00:00Z
0af8d89c-d057-408f-bae7-fce4b506c768,d21fb78b-c5cf-43dd-b14b-b4d14018870e,855a6fd5-b341-47be-8920-24093b3b95e1,PP-3009,truck,Toyota,Camry,Black,2019,active,2026-07-27T00:00:00Z
050c3ed6-2b71-48bf-a9db-32cfc0dc48d4,0dcbe57d-a4c7-4f89-95bc-d692b07480b8,2fe2cdd4-9a9d-4f39-82f5-0a97b524946b,PP-3010,car,Toyota,Camry,White,2022,active,2026-07-27T00:00:00Z
a1d9c0cb-eaf5-4627-bc86-98a5693f243e,9e2779c1-bf6b-4aa4-9b00-8b0e542b51e9,6c14432f-4057-4097-852f-cca97e13d887,PP-3011,tuk-tuk,Hyundai,Vios,White,2024,active,2026-07-27T00:00:00Z
327304c2-b286-412e-8f83-90b4c7cd1380,bafbe02d-0082-4f8a-9bf4-7ce70bc275a3,de829b05-d6b2-4912-ae56-1288e161b836,PP-3012,truck,Yamaha,Vios,Blue,2022,active,2026-07-27T00:00:00Z
94bd5832-fe72-4540-88cc-eeb12ee9813a,a0575093-6221-4f26-9ced-5bb56126496b,c4f92db9-eebc-4481-87ac-2e27a485c4ce,PP-3013,car,Suzuki,Camry,Blue,2022,active,2026-07-27T00:00:00Z
1001da4f-db71-4618-acb2-b0e40a28a124,d3b35018-546a-441f-bad6-72b2a749607e,27df8364-4704-4a08-a834-a301b3692b49,PP-3014,truck,Hyundai,Tucson,White,2023,active,2026-07-27T00:00:00Z
b2a3fa3d-569a-485b-8f42-96fc34bd12a4,fa488835-93e7-453b-9838-befc7fcde69c,13a32442-3386-40d5-9e23-1304a85aaff1,PP-3015,tuk-tuk,Toyota,Prius,Blue,2023,active,2026-07-27T00:00:00Z
2e561407-8904-4c6d-ba6c-47b3f4eefdc0,e13127e2-ce1e-4891-a904-72826413bf2d,762d431d-5ad1-44ad-8ccd-18415c25d632,PP-3016,tuk-tuk,Toyota,Camry,Red,2018,active,2026-07-27T00:00:00Z
