Class Name,Original Class ID,New Class ID,Number of Images,Train,Val,Verification Issues
NO_ENTRY,126,0,12,11,1,0
NO_LEFT_TURN,127,1,12,9,3,0
NO_RIGHT_TURN,129,2,12,11,1,0
NO_U_TURN,131,3,12,9,3,0
NO_PARKING,128,4,12,9,3,0
M_STOP,117,5,12,11,1,0
P_SPEED_LIMIT_20_KM_H,160,6,12,12,0,0
P_SPEED_LIMIT_50_KM_H,161,7,12,8,4,0
W_PEDESTRIAN_CROSSING,202,8,15,12,3,0
I_ONE_WAY_TRAFFIC,63,9,12,11,1,0
M_YIELD_GIVE_WAY,125,10,12,11,1,0
M_PRIORITY_ROAD,114,11,12,10,2,0
W_ROUNDABOUT_AHEAD,211,12,12,10,2,0
M_KEEP_RIGHT,108,13,12,11,1,0
P_NO_MOTORCYCLES,147,14,12,10,2,0
P_NO_OVERTAKING,150,15,12,10,2,0
W_SHARP_CURVE_TO_THE_LEFT,213,16,12,10,2,0
W_END_ROAD_WORKS,189,17,12,8,4,0
I_HOSPITAL,52,18,12,11,1,0
I_BUILT_UP_AREA_BEGINS,14,19,12,11,1,0
NO_STOPPING,130,20,12,10,2,0
P_NO_HONKING,146,21,12,11,1,0
P_MAXIMUM_SPEED_LIMIT,137,22,12,11,1,0
M_GO_STRAIGHT,104,23,12,10,2,0
W_HUMP,193,24,14,12,2,0
W_TRAFFIC_LIGHTS_AHEAD,227,25,12,9,3,0
W_CATTLE_OR_DOMESTIC_ANIMALS,170,26,12,8,4,0
W_NARROW_BRIDGE,198,27,12,12,0,0
I_PARKING_LOT,64,28,12,9,3,0
I_U_TURN,85,29,12,9,3,0
M_KEEP_LEFT,107,30,12,9,3,0
M_TURN_LEFT,119,31,12,12,0,0
M_TURN_RIGHT,122,32,12,8,4,0
M_BICYCLES_ONLY,93,33,12,10,2,0
I_EXPRESSWAY_BEGINS,39,34,12,10,2,0
I_EXPRESSWAY_ENDS,40,35,12,10,2,0
I_GAS_STATION,48,36,12,10,2,0
I_BUILT_UP_AREA_ENDS,15,37,12,10,2,0
M_PRIORITY_INTERSECTION,112,38,12,9,3,0
M_SINGLE_TRACK_RAILWAY_CROSSING,115,39,12,11,1,0
